job_group,job_title,counts
Data Scientist,Data Scientist,59
Data Engineer,Data Engineer,38
Data Engineer,Machine Learning Engineer,20
Data Analyst,Data Analyst,20
Data Scientist,Research Scientist,10
Data Scientist,Data Science Consultant,7
Data Engineer,Big Data Engineer,6
Data Scientist,Data Science Manager,5
Data Engineer,Lead Data Engineer,5
Data Analyst,BI Data Analyst,5
Data Scientist,AI Scientist,5
Data Scientist,Principal Data Scientist,5
Data Scientist,Director of Data Science,4
Data Scientist,Machine Learning Scientist,4
Data Engineer,Data Engineering Manager,3
Data Analyst,Business Data Analyst,3
Data Engineer,ML Engineer,3
Data Engineer,Data Analytics Engineer,3
Data Analyst,Lead Data Analyst,3
Data Analyst,Data Analytics Manager,3
Data Scientist,Computer Vision Engineer,3
Data Scientist,Computer Vision Software Engineer,2
Data Scientist,Lead Data Scientist,2
Data Engineer,Principal Data Engineer,2
Data Engineer,Cloud Data Engineer,2
Data Engineer,Machine Learning Infrastructure Engineer,2
Data Scientist,Head of Data Science,2
Data Analyst,Head of Data,2
Data Engineer,Data Science Engineer,2
Data Engineer,Director of Data Engineering,2
Data Analyst,Financial Data Analyst,1
Data Scientist,Manager Data Science,1
Data Scientist,Applied Machine Learning Scientist,1
Data Analyst,Finance Data Analyst,1
Data Analyst,Product Data Analyst,1
Data Scientist,3D Computer Vision Researcher,1
Data Scientist,Staff Data Scientist,1
Data Scientist,Applied Data Scientist,1
Data Engineer,Data Architect,1
Data Analyst,Marketing Data Analyst,1
Data Engineer,Big Data Architect,1
Data Analyst,Principal Data Analyst,1
Data Analyst,Data Specialist,1
